GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),"Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino","Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino","Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0500000US34001,34001,"Atlantic County, New Jersey",102637,1855,54934,1014,70.9,0.7,61787,1751,16.3,0.5,37811,3756,0.2,0.1,23636,11900,5.2,0.3,56878,3662,0.0,0.1,-,**,5.8,0.5,38187,2460,1.5,0.3,44281,6104,10.7,0.4,40914,4953,66.7,0.6,62818,1753,2.4,0.5,29167,3141,33.4,0.8,60442,2077,41.3,0.7,66131,2408,22.9,0.9,35331,1233,67903,1367,67700,1481,46.7,1.1,62938,2577,53.3,1.1,70671,1838,70.8,1.2,80994,1415,22.2,1.2,35800,1556,7.1,0.8,51464,5591,34734,1276,32515,1736,54.0,1.5,26439,1314,48.0,1.6,23588,1855,6.0,0.8,74583,8521,46.0,1.5,41235,2037,36.9,1.6,36527,2114,9.1,1.0,67540,4542,29.1,(X),(X),(X),29.7,(X),(X),(X),26.3,(X),(X),(X)
0500000US34003,34003,"Bergen County, New Jersey",333412,1298,81350,996,77.4,0.3,82722,1233,5.9,0.2,66009,3346,0.1,0.1,47574,27135,12.3,0.2,89760,3003,0.0,0.1,44070,42172,3.4,0.2,61547,4833,1.0,0.1,73317,10403,11.9,0.3,66215,2363,69.4,0.3,84926,1347,1.7,0.2,48238,5780,34.0,0.4,87281,2090,41.0,0.3,99956,1557,23.3,0.3,46513,1384,236314,1895,99398,1199,46.9,0.6,103418,1858,53.1,0.6,95159,1636,80.2,0.6,110315,1318,14.6,0.5,55513,1845,5.2,0.3,71408,6609,97098,1930,43828,1208,57.0,1.1,37083,1532,51.5,1.1,33345,1229,5.5,0.5,85442,7235,43.0,1.1,52654,2026,35.4,1.1,47491,2051,7.6,0.5,83837,8357,28.6,(X),(X),(X),29.4,(X),(X),(X),25.9,(X),(X),(X)
0500000US34005,34005,"Burlington County, New Jersey",165336,1157,75383,896,78.9,0.4,77926,1072,14.7,0.3,61076,3262,0.2,0.1,51761,4050,3.4,0.1,83522,5683,0.0,0.1,-,**,1.5,0.3,54494,11006,1.3,0.2,69223,9187,3.6,0.5,58440,5968,76.9,0.5,78307,1088,2.0,0.3,38553,9415,35.0,0.5,81957,1641,41.6,0.5,88456,1598,21.3,0.4,42329,1193,116484,1252,88840,1084,46.7,0.7,93448,1843,53.3,0.7,84908,1543,78.9,0.8,99622,1263,15.4,0.7,51712,2675,5.7,0.5,62014,6510,48852,1019,42801,1313,55.7,1.3,35965,1684,48.8,1.3,32050,1436,6.8,0.7,75721,5409,44.3,1.3,51689,1904,34.8,1.1,45577,1890,9.5,0.9,80279,5039,23.7,(X),(X),(X),24.6,(X),(X),(X),20.9,(X),(X),(X)
0500000US34007,34007,"Camden County, New Jersey",192095,1106,60362,899,70.6,0.4,67389,1048,18.6,0.4,40318,1796,0.3,0.1,35278,12221,3.7,0.2,79222,8234,0.0,0.1,64063,50865,5.4,0.3,39904,6168,1.4,0.2,49421,10427,8.8,0.2,38761,4136,67.9,0.4,68568,1225,3.3,0.3,30399,2951,36.3,0.4,65801,1255,39.8,0.4,73596,1508,20.6,0.4,35417,1542,130720,1252,73591,1148,47.7,0.8,72478,1887,52.3,0.8,74621,1647,69.3,0.9,89420,1475,23.4,0.8,37119,1674,7.3,0.5,54157,2794,61375,1276,34743,1161,56.2,1.2,28003,1241,49.2,1.2,24984,1013,7.0,0.7,64235,4586,43.8,1.2,42429,2032,34.8,1.2,36811,1533,9.0,0.8,69532,5592,28.7,(X),(X),(X),29.2,(X),(X),(X),26.1,(X),(X),(X)
0500000US34009,34009,"Cape May County, New Jersey",46709,1041,54441,1687,92.6,1.0,56102,1822,4.7,0.6,33849,7777,0.5,0.1,35323,47128,0.2,0.1,54297,41599,0.0,0.1,-,**,1.7,0.7,24201,14195,0.4,0.2,80625,47235,3.2,0.4,32644,9215,90.9,0.9,56691,1894,6.8,1.4,32905,10368,25.9,1.0,60272,3129,38.1,0.9,73096,2329,29.2,1.0,37923,1684,30447,1024,66749,2760,40.5,1.7,60759,4980,59.5,1.7,69705,3455,74.9,1.9,80957,2507,18.0,1.4,38312,4718,7.1,1.5,36656,5209,16262,825,32519,1845,54.7,2.5,28630,2688,46.8,2.6,25649,1541,7.9,1.8,59079,17930,45.3,2.5,36959,6988,35.3,2.7,33093,2533,10.0,2.4,68889,13236,26.0,(X),(X),(X),26.9,(X),(X),(X),23.1,(X),(X),(X)
0500000US34011,34011,"Cumberland County, New Jersey",50773,567,50035,1471,72.7,1.0,54767,1732,17.6,0.7,33152,3703,1.0,0.1,45625,21646,1.0,0.2,47083,8638,0.0,0.1,-,**,6.1,0.7,41563,9811,1.5,0.3,36645,13933,17.2,0.7,41887,4480,63.1,1.0,57002,1871,2.4,0.4,30934,3540,36.0,1.1,54218,1971,38.9,0.9,61752,2558,22.7,0.8,28039,1742,35035,651,59434,1971,46.5,1.3,53554,2165,53.5,1.3,64167,2330,66.0,1.6,73906,3181,24.9,1.2,29541,2671,9.1,1.1,38048,5628,15738,602,27953,1715,57.9,2.5,21436,1548,50.5,2.7,19294,1996,7.4,1.4,53037,4550,42.1,2.5,35879,2947,33.5,2.4,32136,2218,8.6,1.7,61801,10049,31.1,(X),(X),(X),32.4,(X),(X),(X),25.0,(X),(X),(X)
0500000US34013,34013,"Essex County, New Jersey",278722,1514,54176,823,44.4,0.4,77188,1955,41.7,0.4,39841,928,0.2,0.1,39750,7485,3.8,0.1,94031,5642,0.0,0.1,40446,115134,8.1,0.3,41459,2277,1.8,0.2,49783,6597,15.7,0.3,42524,1531,38.2,0.4,84607,2100,3.4,0.2,26026,2424,38.9,0.4,56324,1210,38.0,0.4,67773,2109,19.6,0.3,33293,1210,184756,1865,67030,1122,51.7,0.6,59686,1775,48.3,0.6,73778,1585,60.1,0.8,94484,1822,30.3,0.9,35592,1225,9.6,0.6,47749,3243,93966,1801,31971,890,53.7,1.0,27132,1204,48.7,1.1,25052,1175,5.0,0.5,60944,7050,46.3,1.0,37798,1367,37.8,1.0,32976,1900,8.4,0.7,68138,5589,34.9,(X),(X),(X),35.9,(X),(X),(X),30.6,(X),(X),(X)
0500000US34015,34015,"Gloucester County, New Jersey",100680,795,71883,1413,86.4,0.4,73893,1503,9.7,0.3,54865,3513,0.1,0.1,36964,37755,1.7,0.2,93056,26322,0.0,0.1,-,**,1.0,0.2,56136,17433,1.1,0.2,70650,11633,2.4,0.2,60241,5795,85.2,0.4,74007,1500,2.5,0.3,27574,4500,36.6,0.5,80268,2406,41.9,0.5,85347,2205,19.0,0.5,35629,1314,72932,938,85235,1557,49.2,0.9,87849,2526,50.8,0.9,83130,1933,77.6,1.1,96357,1535,16.6,0.9,44211,3169,5.8,0.6,55029,4917,27748,1018,38469,1648,55.4,1.9,30903,1704,47.8,2.2,26996,1342,7.6,1.0,63231,9363,44.6,1.9,48537,2215,34.8,1.7,41971,2892,9.8,1.1,77290,7967,26.1,(X),(X),(X),26.6,(X),(X),(X),23.3,(X),(X),(X)
0500000US34017,34017,"Hudson County, New Jersey",230449,1279,53475,982,62.8,0.5,56521,1289,13.7,0.3,40055,2380,0.3,0.1,45583,26879,9.9,0.3,84425,2961,0.0,0.1,130956,130218,11.8,0.4,42532,1749,1.4,0.2,51451,8053,35.7,0.4,40597,1295,40.8,0.4,69165,2090,3.6,0.3,37052,2432,46.4,0.5,66374,1498,33.4,0.5,54950,1600,16.6,0.3,24108,865,137952,1906,57458,1506,47.0,0.9,47601,1896,53.0,0.9,65925,1626,62.0,0.9,75166,1568,27.4,0.8,31843,1350,10.6,0.6,47720,3035,92497,1735,43295,1538,50.0,1.0,31039,1686,42.4,1.0,24949,1408,7.6,0.5,85854,7134,50.0,1.0,54391,2485,36.3,1.0,43433,1873,13.7,0.8,100390,5862,29.7,(X),(X),(X),32.7,(X),(X),(X),23.5,(X),(X),(X)
