GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1600000US3400100,3400100,"Absecon city, New Jersey",3247,181,61199,6872,83.4,3.3,67710,5145,6.7,2.7,31424,7878,0.1,0.2,-,**,5.2,2.1,36875,11028,0.0,1.0,-,**,2.2,1.5,39861,17288,2.4,1.9,34293,54367,9.7,3.0,34185,8274,77.4,3.5,68367,3889,1.2,1.1,45000,19563,28.7,4.7,47485,11841,45.2,4.3,72788,8033,24.9,3.4,46500,11896,2289,177,68844,6369,38.2,3.8,62188,19765,61.8,3.8,70977,9098,76.7,5.8,78152,12160,14.5,4.8,61125,29448,8.7,3.7,56610,10903,958,171,39727,9298,57.5,10.6,34250,10700,47.5,10.3,30304,5195,10.0,7.1,73167,23705,42.5,10.6,46174,11422,30.4,9.8,39526,9371,12.1,6.7,83542,101435,29.1,(X),(X),(X),30.1,(X),(X),(X),25.4,(X),(X),(X)
1600000US3400640,3400640,"Allamuchy CDP, New Jersey",32,50,-,**,100.0,52.4,-,**,0.0,52.4,-,**,0.0,52.4,-,**,0.0,52.4,-,**,0.0,52.4,-,**,0.0,52.4,-,**,0.0,52.4,-,**,0.0,52.4,-,**,100.0,52.4,-,**,0.0,52.4,-,**,0.0,52.4,-,**,100.0,52.4,-,**,0.0,52.4,-,**,32,50,-,**,100.0,52.4,-,**,0.0,52.4,-,**,0.0,52.4,-,**,100.0,52.4,-,**,0.0,52.4,-,**,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0.0,(X),(X),(X),0.0,(X),(X),(X),-,(X),(X),(X)
1600000US3400700,3400700,"Allendale borough, New Jersey",2214,120,124821,24331,85.7,5.1,132596,21358,0.4,0.7,-,**,0.0,1.5,-,**,13.9,5.2,66910,87298,0.0,1.5,-,**,0.0,1.5,-,**,0.0,0.5,-,**,1.6,1.9,-,**,84.1,5.1,132981,21444,0.0,1.5,-,**,19.0,3.6,167174,32633,54.4,5.3,134423,33221,26.6,4.9,50588,22392,1744,103,150686,34280,48.4,6.0,155000,25645,51.6,6.0,133077,38494,85.8,5.7,171458,40153,11.9,5.6,90362,35757,2.4,2.6,-,**,470,162,50441,21039,55.3,18.6,44922,21093,55.3,18.6,44922,21093,0.0,6.7,-,**,44.7,18.6,62833,26137,41.1,18.6,63188,26830,3.6,5.3,-,**,22.9,(X),(X),(X),25.2,(X),(X),(X),14.3,(X),(X),(X)
1600000US3400730,3400730,"Allenhurst borough, New Jersey",213,33,84115,14412,91.1,9.3,83654,16812,0.0,14.1,-,**,0.0,14.1,-,**,5.2,7.4,-,**,0.0,14.1,-,**,0.0,14.1,-,**,3.8,5.9,-,**,3.8,4.4,-,**,87.3,10.1,84423,27221,0.0,14.1,-,**,24.4,10.1,69583,28247,48.8,9.6,85000,60924,26.8,6.3,116875,52978,115,26,151875,51726,38.3,13.2,111875,91838,61.7,13.2,165625,41247,76.5,12.8,197500,38856,23.5,12.8,100625,35202,0.0,24.3,-,**,98,32,42917,7535,45.9,15.0,41458,9588,45.9,15.0,41458,9588,0.0,27.6,-,**,54.1,15.0,67708,46015,41.8,16.9,41806,16069,12.2,15.2,-,**,42.3,(X),(X),(X),49.6,(X),(X),(X),33.7,(X),(X),(X)
1600000US3400760,3400760,"Allentown borough, New Jersey",677,45,102250,14385,92.9,3.0,105179,17901,4.1,2.9,53750,41117,0.0,4.7,-,**,0.0,4.7,-,**,0.0,4.7,-,**,2.5,2.2,245139,68924,0.4,0.7,-,**,3.5,2.2,97143,126847,90.5,3.6,106964,17591,0.3,0.6,-,**,24.7,4.4,97321,27623,54.2,4.3,113988,7622,20.8,3.7,72813,22144,489,45,114449,6993,46.2,5.9,113088,5419,53.8,5.9,123438,22853,74.2,6.5,138750,11599,23.5,6.6,69688,52655,2.2,2.0,80417,21339,188,37,46250,11850,53.2,11.0,47500,20918,44.1,11.6,38625,9223,9.0,6.6,117188,12239,46.8,11.0,43750,17092,42.0,11.4,42212,14273,4.8,4.5,88125,28018,25.1,(X),(X),(X),30.7,(X),(X),(X),10.6,(X),(X),(X)
1600000US3400790,3400790,"Allenwood CDP, New Jersey",337,82,106181,33993,100.0,9.2,106181,33993,0.0,9.2,-,**,0.0,9.2,-,**,0.0,9.2,-,**,0.0,9.2,-,**,0.0,9.2,-,**,0.0,9.2,-,**,0.0,9.2,-,**,100.0,9.2,106181,33993,0.0,9.2,-,**,33.5,17.2,121344,32589,52.8,18.0,106389,38377,13.6,11.5,59464,8130,298,84,107083,35647,55.7,17.5,121625,22143,44.3,17.5,102708,41843,86.9,15.0,121031,22764,13.1,15.0,-,**,0.0,10.3,-,**,39,36,71484,234961,25.6,41.6,-,**,25.6,41.6,-,**,0.0,47.5,-,**,74.4,41.6,-,**,74.4,41.6,-,**,0.0,47.5,-,**,28.8,(X),(X),(X),32.6,(X),(X),(X),0.0,(X),(X),(X)
1600000US3400850,3400850,"Alloway CDP, New Jersey",530,91,76250,32303,100.0,5.9,76250,32303,0.0,5.9,-,**,0.0,5.9,-,**,0.0,5.9,-,**,0.0,5.9,-,**,0.0,5.9,-,**,0.0,5.9,-,**,0.0,5.9,-,**,100.0,5.9,76250,32303,0.0,5.9,-,**,41.1,11.9,100192,50584,42.3,12.7,111563,49716,16.6,9.2,31458,24948,453,91,94028,51339,62.7,14.9,108065,19674,37.3,14.9,57589,42102,96.9,4.8,76875,51046,3.1,4.8,-,**,0.0,6.9,-,**,77,44,50375,83124,57.1,38.8,9333,19290,57.1,38.8,9333,19290,0.0,32.9,-,**,42.9,38.8,81016,25027,33.8,35.6,-,**,9.1,13.9,-,**,25.8,(X),(X),(X),23.6,(X),(X),(X),39.0,(X),(X),(X)
1600000US3401030,3401030,"Alpha borough, New Jersey",966,59,60577,9707,92.3,4.6,56136,9418,5.8,4.5,87917,49689,0.0,3.3,-,**,0.0,3.3,-,**,0.0,3.3,-,**,0.0,3.3,-,**,1.9,1.6,61667,78033,4.3,3.3,37000,163133,88.6,5.5,57500,9321,0.4,0.6,-,**,33.0,5.3,64191,17135,41.7,6.1,77784,17922,24.8,3.9,29828,3112,638,56,68981,9620,45.3,6.5,64135,17664,54.7,6.5,69769,16499,70.2,7.8,71786,15809,21.3,6.1,34375,32228,8.5,4.7,74583,30929,328,66,43235,10021,45.7,10.4,28864,6111,40.2,9.7,28529,6818,5.5,4.4,33750,57260,54.3,10.4,54167,22422,43.9,11.1,50417,12893,10.4,7.9,96667,2118,31.2,(X),(X),(X),32.8,(X),(X),(X),28.0,(X),(X),(X)
1600000US3401090,3401090,"Alpine borough, New Jersey",595,50,132250,31509,70.3,6.8,119375,33701,2.7,2.6,"250,000+",***,0.0,5.3,-,**,25.7,6.5,210313,95101,0.0,5.3,-,**,0.0,5.3,-,**,1.3,1.3,-,**,3.7,2.4,77143,195194,66.6,6.8,120000,33166,0.5,0.7,-,**,11.1,4.5,101667,70872,52.1,7.7,181000,82071,36.3,6.4,111042,18702,476,50,141522,45901,32.1,6.9,215313,101183,67.9,6.9,118438,37426,86.8,5.8,177250,60121,10.1,5.4,53333,20305,3.2,2.3,93958,27440,119,44,88750,66044,63.0,18.1,47083,44201,51.3,18.1,45972,27768,11.8,11.5,102813,61229,37.0,18.1,174722,128303,34.5,18.8,174306,160762,2.5,4.1,-,**,43.5,(X),(X),(X),43.1,(X),(X),(X),45.4,(X),(X),(X)
