GEO.id,GEO.id2,GEOdisplaylabel,latest,latest_moe,prev,prev_moe,nj_latest,usa_latest,nj_prev,usa_prev,inflation,median_house_income_prev_woinf,nj_median_income_prev_woinf,usa_median_income_prev_woinf
0500000US34001,34001,Atlantic County,"$54,392",1335,"$60,618",1014,"$72,062","$53,482","$76,119","$56,746",0.1136,54934,68981,51425
0500000US34003,34003,Bergen County,"$83,686",1281,"$89,768",996,"$72,062","$53,482","$76,119","$56,746",0.1136,81350,68981,51425
0500000US34005,34005,Burlington County,"$79,612",1097,"$83,183",896,"$72,062","$53,482","$76,119","$56,746",0.1136,75383,68981,51425
0500000US34007,34007,Camden County,"$61,842",1064,"$66,608",899,"$72,062","$53,482","$76,119","$56,746",0.1136,60362,68981,51425
0500000US34009,34009,Cape May County,"$57,394",1758,"$60,074",1687,"$72,062","$53,482","$76,119","$56,746",0.1136,54441,68981,51425
0500000US34011,34011,Cumberland County,"$50,603",1419,"$55,212",1471,"$72,062","$53,482","$76,119","$56,746",0.1136,50035,68981,51425
0500000US34013,34013,Essex County,"$54,499",756,"$59,782",823,"$72,062","$53,482","$76,119","$56,746",0.1136,54176,68981,51425
0500000US34015,34015,Gloucester County,"$76,213",1293,"$79,321",1413,"$72,062","$53,482","$76,119","$56,746",0.1136,71883,68981,51425
0500000US34017,34017,Hudson County,"$58,973",1294,"$59,008",982,"$72,062","$53,482","$76,119","$56,746",0.1136,53475,68981,51425
0500000US34019,34019,Hunterdon County,"$106,519",3055,"$113,106",2533,"$72,062","$53,482","$76,119","$56,746",0.1136,102500,68981,51425
0500000US34021,34021,Mercer County,"$74,118",1465,"$79,193",1634,"$72,062","$53,482","$76,119","$56,746",0.1136,71767,68981,51425
0500000US34023,34023,Middlesex County,"$80,118",876,"$84,218",749,"$72,062","$53,482","$76,119","$56,746",0.1136,76321,68981,51425
0500000US34025,34025,Monmouth County,"$85,605",997,"$90,499",1057,"$72,062","$53,482","$76,119","$56,746",0.1136,82013,68981,51425
0500000US34027,34027,Morris County,"$99,142",1213,"$106,282",1374,"$72,062","$53,482","$76,119","$56,746",0.1136,96316,68981,51425
0500000US34029,34029,Ocean County,"$61,839",718,"$66,141",919,"$72,062","$53,482","$76,119","$56,746",0.1136,59939,68981,51425
0500000US34031,34031,Passaic County,"$59,513",1285,"$60,567",1104,"$72,062","$53,482","$76,119","$56,746",0.1136,54888,68981,51425
0500000US34033,34033,Salem County,"$60,768",2502,"$65,604",2491,"$72,062","$53,482","$76,119","$56,746",0.1136,59452,68981,51425
0500000US34035,34035,Somerset County,"$100,903",1388,"$106,191",1782,"$72,062","$53,482","$76,119","$56,746",0.1136,96233,68981,51425
0500000US34037,34037,Sussex County,"$87,397",2020,"$89,920",1578,"$72,062","$53,482","$76,119","$56,746",0.1136,81488,68981,51425
0500000US34039,34039,Union County,"$69,396",1269,"$73,307",1026,"$72,062","$53,482","$76,119","$56,746",0.1136,66433,68981,51425
0500000US34041,34041,Warren County,"$70,934",1742,"$76,986",1978,"$72,062","$53,482","$76,119","$56,746",0.1136,69767,68981,51425
