GEO.id,GEO.id2,GEOdisplaylabel,median_income_latest,median_income_latest_moe,median_income_prev,median_income_prev_moe,median_income_nj_latest,median_income_usa_latest,median_income_nj_prev,median_income_usa_prev,inflation,pop_latest,latest_moe,pop_prev,pop_prev_moe,pop_nj_latest,pop_usa_latest,pop_nj_prev,pop_usa_prev
0500000US34001,34001,Atlantic County,"$54,392","$1,335","$60,618","$1,014","$72,062","$53,482","$76,119","$56,746",0.1136,275325,*****,270016,*****,8874374,46153077,8650548,"46,215,956"
0500000US34003,34003,Bergen County,"$83,686","$1,281","$89,768",$996,"$72,062","$53,482","$76,119","$56,746",0.1136,920456,*****,888546,*****,8874374,46153077,8650548,301461533
0500000US34005,34005,Burlington County,"$79,612","$1,097","$83,183",$896,"$72,062","$53,482","$76,119","$56,746",0.1136,450155,*****,446301,*****,8874374,46153077,8650548,301461533
0500000US34007,34007,Camden County,"$61,842","$1,064","$66,608",$899,"$72,062","$53,482","$76,119","$56,746",0.1136,512632,*****,516937,*****,8874374,46153077,8650548,301461533
0500000US34009,34009,Cape May County,"$57,394","$1,758","$60,074","$1,687","$72,062","$53,482","$76,119","$56,746",0.1136,96286,*****,97127,*****,8874374,46153077,8650548,301461533
0500000US34011,34011,Cumberland County,"$50,603","$1,419","$55,212","$1,471","$72,062","$53,482","$76,119","$56,746",0.1136,157429,*****,155266,*****,8874374,46153077,8650548,301461533
0500000US34013,34013,Essex County,"$54,499",$756,"$59,782",$823,"$72,062","$53,482","$76,119","$56,746",0.1136,789616,*****,771353,*****,8874374,46153077,8650548,301461533
0500000US34015,34015,Gloucester County,"$76,213","$1,293","$79,321","$1,413","$72,062","$53,482","$76,119","$56,746",0.1136,289705,*****,284552,*****,8874374,46153077,8650548,301461533
0500000US34017,34017,Hudson County,"$58,973","$1,294","$59,008",$982,"$72,062","$53,482","$76,119","$56,746",0.1136,654878,*****,593615,*****,8874374,46153077,8650548,301461533
0500000US34019,34019,Hunterdon County,"$106,519","$3,055","$113,106","$2,533","$72,062","$53,482","$76,119","$56,746",0.1136,126746,*****,129517,*****,8874374,46153077,8650548,301461533
0500000US34021,34021,Mercer County,"$74,118","$1,465","$79,193","$1,634","$72,062","$53,482","$76,119","$56,746",0.1136,369526,*****,363778,*****,8874374,46153077,8650548,301461533
0500000US34023,34023,Middlesex County,"$80,118",$876,"$84,218",$749,"$72,062","$53,482","$76,119","$56,746",0.1136,824046,*****,781957,*****,8874374,46153077,8650548,301461533
0500000US34025,34025,Monmouth County,"$85,605",$997,"$90,499","$1,057","$72,062","$53,482","$76,119","$56,746",0.1136,629702,*****,641984,*****,8874374,46153077,8650548,301461533
0500000US34027,34027,Morris County,"$99,142","$1,213","$106,282","$1,374","$72,062","$53,482","$76,119","$56,746",0.1136,497103,*****,485828,*****,8874374,46153077,8650548,301461533
0500000US34029,34029,Ocean County,"$61,839",$718,"$66,141",$919,"$72,062","$53,482","$76,119","$56,746",0.1136,581413,*****,565428,*****,8874374,46153077,8650548,301461533
0500000US34031,34031,Passaic County,"$59,513","$1,285","$60,567","$1,104","$72,062","$53,482","$76,119","$56,746",0.1136,505403,*****,488793,*****,8874374,46153077,8650548,301461533
0500000US34033,34033,Salem County,"$60,768","$2,502","$65,604","$2,491","$72,062","$53,482","$76,119","$56,746",0.1136,65501,*****,65982,*****,8874374,46153077,8650548,301461533
0500000US34035,34035,Somerset County,"$100,903","$1,388","$106,191","$1,782","$72,062","$53,482","$76,119","$56,746",0.1136,328704,*****,320712,*****,8874374,46153077,8650548,301461533
0500000US34037,34037,Sussex County,"$87,397","$2,020","$89,920","$1,578","$72,062","$53,482","$76,119","$56,746",0.1136,146888,*****,151239,*****,8874374,46153077,8650548,301461533
0500000US34039,34039,Union County,"$69,396","$1,269","$73,307","$1,026","$72,062","$53,482","$76,119","$56,746",0.1136,545236,*****,522050,*****,8874374,46153077,8650548,301461533
0500000US34041,34041,Warren County,"$70,934","$1,742","$76,986","$1,978","$72,062","$53,482","$76,119","$56,746",0.1136,107624,*****,109567,*****,8874374,46153077,8650548,301461533
