Id2,ledgerstyle,County,median_age_latest,median_age_moe_latest,median_age_moe_per_latest,median_age_prev,median_age_moe_prev,median_age_moe_per_prev,nj_median_age_latest,nj_median_age_prev,usa_median_age_latest,usa_median_age_prev,median_age_change,nj_median_age_change,usa_median_age_change
34001,Atlantic County,Atlantic,40.6,0.2,0.49,39.2,0.2,0.49,37.6,38.3,37.6,36.5,1.4,-0.7,1.1
34003,Bergen County,Bergen,41.5,0.2,0.48,40.7,0.2,0.48,37.6,38.3,37.6,36.5,0.8,-0.7,1.1
34005,Burlington County,Burlington,41,0.2,0.49,39.1,0.2,0.49,37.6,38.3,37.6,36.5,1.9,-0.7,1.1
34007,Camden County,Camden,38.3,0.2,0.52,36.9,0.2,0.52,37.6,38.3,37.6,36.5,1.4,-0.7,1.1
34009,Cape May County,Cape May,48.3,0.3,0.62,46.3,0.3,0.62,37.6,38.3,37.6,36.5,2,-0.7,1.1
34011,Cumberland County,Cumberland,36.9,0.2,0.54,36,0.2,0.54,37.6,38.3,37.6,36.5,0.9,-0.7,1.1
34013,Essex County,Essex,36.9,0.1,0.27,35.8,0.1,0.27,37.6,38.3,37.6,36.5,1.1,-0.7,1.1
34015,Gloucester County,Gloucester,39.6,0.2,0.51,37.8,0.2,0.51,37.6,38.3,37.6,36.5,1.8,-0.7,1.1
34017,Hudson County,Hudson,34.7,0.2,0.58,34.4,0.2,0.58,37.6,38.3,37.6,36.5,0.3,-0.7,1.1
34019,Hunterdon County,Hunterdon,45,0.1,0.22,41.9,0.1,0.22,37.6,38.3,37.6,36.5,3.1,-0.7,1.1
34021,Mercer County,Mercer,38.4,0.2,0.52,36.9,0.2,0.52,37.6,38.3,37.6,36.5,1.5,-0.7,1.1
34023,Middlesex County,Middlesex,37.7,0.2,0.53,36.6,0.2,0.53,37.6,38.3,37.6,36.5,1.1,-0.7,1.1
34025,Monmouth County,Monmouth,42.3,0.1,0.24,40.3,0.1,0.24,37.6,38.3,37.6,36.5,2,-0.7,1.1
34027,Morris County,Morris,42,0.2,0.48,40.1,0.2,0.48,37.6,38.3,37.6,36.5,1.9,-0.7,1.1
34029,Ocean County,Ocean,42.8,0.2,0.47,42.5,0.2,0.47,37.6,38.3,37.6,36.5,0.3,-0.7,1.1
34031,Passaic County,Passaic,36.5,0.2,0.55,36,0.2,0.55,37.6,38.3,37.6,36.5,0.5,-0.7,1.1
34033,Salem County,Salem,41.8,0.4,0.96,39.7,0.4,0.96,37.6,38.3,37.6,36.5,2.1,-0.7,1.1
34035,Somerset County,Somerset,40.8,0.2,0.49,39,0.2,0.49,37.6,38.3,37.6,36.5,1.8,-0.7,1.1
34037,Sussex County,Sussex,43.4,0.2,0.46,40.3,0.2,0.46,37.6,38.3,37.6,36.5,3.1,-0.7,1.1
34039,Union County,Union,38.1,0.2,0.52,37.6,0.2,0.52,37.6,38.3,37.6,36.5,0.5,-0.7,1.1
34041,Warren County,Warren,42.6,0.2,0.47,40.3,0.2,0.47,37.6,38.3,37.6,36.5,2.3,-0.7,1.1
3400100100,Absecon,Atlantic,45.4,2,4.41,43.4,2,4.41,37.6,38.3,37.6,36.5,2,-0.7,1.1
