Id2,ledgerstyle,county,poverty_latest,poverty_moe_latest,poverty_moe_per_latest,poverty_per_latest,poverty_prev,poverty_moe_prev,poverty_moe_per_prev,poverty_per_prev,nj_poverty_latest,nj_poverty_prev,usa_poverty_latest,usa_poverty_prev,poverty_change,nj_poverty_change,usa_poverty_change
34001,Atlantic County,,40868,2480,6.07,15.17,27304,2232,8.17,10.59,10.82,8.81,15.47,13.47,4.58,2.01,2.00
34003,Bergen County,,67959,3080,4.53,7.42,49563,3017,6.09,5.64,10.82,8.81,15.47,13.47,1.78,2.01,2.00
34005,Burlington County,,27881,1704,6.11,6.36,22374,1693,7.57,5.17,10.82,8.81,15.47,13.47,1.19,2.01,2.00
34007,Camden County,,66802,2548,3.81,13.23,57972,2559,4.41,11.41,10.82,8.81,15.47,13.47,1.82,2.01,2.00
34009,Cape May County,,9744,1128,11.58,10.42,8691,1258,14.47,9.19,10.82,8.81,15.47,13.47,1.23,2.01,2.00
34011,Cumberland County,,25760,1946,7.55,17.85,21813,1544,7.08,15.06,10.82,8.81,15.47,13.47,2.79,2.01,2.00
34013,Essex County,,133788,3562,2.66,17.31,109154,4447,4.07,14.54,10.82,8.81,15.47,13.47,2.77,2.01,2.00
34015,Gloucester County,,23200,1706,7.35,8.11,20212,1802,8.92,7.23,10.82,8.81,15.47,13.47,0.88,2.01,2.00
34017,Hudson County,,114900,3363,2.93,17.51,86510,3872,4.48,14.76,10.82,8.81,15.47,13.47,2.75,2.01,2.00
34019,Hunterdon County,,5379,813,15.11,4.4,4536,698,15.39,3.59,10.82,8.81,15.47,13.47,0.81,2.01,2.00
34021,Mercer County,,40354,2494,6.18,11.47,33137,2306,6.96,9.44,10.82,8.81,15.47,13.47,2.03,2.01,2.00
34023,Middlesex County,,70908,3041,4.29,8.83,57461,3238,5.64,7.59,10.82,8.81,15.47,13.47,1.24,2.01,2.00
34025,Monmouth County,,46492,2484,5.34,7.47,38811,2331,6.01,6.12,10.82,8.81,15.47,13.47,1.35,2.01,2.00
34027,Morris County,,22068,1796,8.14,4.5,16675,1531,9.18,3.49,10.82,8.81,15.47,13.47,1.01,2.01,2.00
34029,Ocean County,,64795,3446,5.32,11.25,44237,2132,4.82,7.94,10.82,8.81,15.47,13.47,3.31,2.01,2.00
