Id2,ledgerstyle,County,white_latest,white_moe_latest,white_moe_per_latest,white_per_latest,black_latest,black_moe_latest,black_moe_per_latest,black-per-latest,asian_latest,asian_moe_latest,asian_moe_per_latest,asian_per_latest,hispanic_latest,hispanic_moe_latest,hispanic_moe_per_latest,hispanic_per_latest,white_prev,white_moe_prev,white_moe_per_prev,white_per_prev,black_prev,black_moe_prev,black_moe_per_prev,black-per-prev,asian_prev,asian_moe_prev,asian_moe_per_prev,asian_per_prev,hispanic_prev,hispanic_moe_prev,hispanic_moe_per_prev,hispanic_per_prev,nj_white_latest,nj_white_prev,nj_black_latest,nj_black_prev,nj_asian_latest,nj_asian_prev,nj_hispanic_latest,nj_hispanic_prev,usa_white_latest,usa_white_prev,usa_black_latest,usa_black_prev,usa_asian_latest,usa_asian_prev,usa_hispanic_latest,usa_hispanic_prev,white_change,black_change,asian_change,hispanic_change,nj_white_change,nj_black_change,nj_asian_change,nj_hispanic_change,usa_white_change,usa_black_change,usa_asian_change,usa_hispanic_change
34001,Atlantic County,Atlantic,157071,128,0.08,57.04,39439,798,2.02,14.32,22469,384,1.71,8.16,49845,0,0,18.1,165480,413,0.25,61.29,42054,497,1.18,15.57,17288,318,1.84,6.4,39322,0,0,14.56,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-4.25,2.53,1.76,3.54,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04
34003,Bergen County,Bergen,549828,511,0.09,59.36,49117,628,1.28,5.3,143924,1048,0.73,15.54,166161,0,0,17.94,575928,690,0.12,64.82,46943,709,1.51,5.28,123846,719,0.58,13.94,128482,0,0,14.46,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-5.46,-7.76,1.6,3.48,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04
34005,Burlington County,Burlington,310668,597,0.19,68.95,70387,980,1.39,15.62,20774,488,2.35,4.61,32991,0,0,7.32,323485,521,0.16,72.48,70116,717,1.02,15.71,17846,382,2.14,4,24268,0,0,5.44,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-3.53,2.67,0.61,1.88,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04
34007,Camden County,Camden,299665,489,0.16,58.53,92793,900,0.97,18.12,28444,417,1.47,5.56,78615,0,0,15.35,326624,280,0.09,63.18,94186,701,0.74,18.22,23459,397,1.69,4.54,62477,0,0,12.09,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-4.65,5.18,1.02,3.26,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04
34009,Cape May County,Cape May,82334,22,0.03,85.94,4441,160,3.6,4.64,1100,106,9.64,1.15,6733,0,0,7.03,85772,587,0.68,88.31,5217,213,4.08,5.37,267,113,42.32,0.27,4318,0,0,4.45,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-2.37,-7.67,0.88,2.58,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04
34011,Cumberland County,Cumberland,76172,52,0.07,48.51,29168,503,1.72,18.57,2034,161,7.92,1.3,44982,0,0,28.64,83004,103,0.12,53.46,29886,404,1.35,19.25,1811,102,5.63,1.17,36454,0,0,23.48,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-4.95,6.21,0.13,5.16,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04
34013,Essex County,Essex,252835,832,0.33,31.94,306745,961,0.31,38.75,38466,701,1.82,4.86,171649,0,0,21.68,272774,972,0.36,35.36,306072,1067,0.35,39.68,32829,440,1.34,4.26,142969,0,0,18.53,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-3.42,26.64,0.6,3.15,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04
34015,Gloucester County,Gloucester,231202,547,0.24,79.64,28383,720,2.54,9.78,8536,280,3.28,2.94,15737,0,0,5.42,235238,262,0.11,82.67,27227,486,1.78,9.57,6209,356,5.73,2.18,10440,0,0,3.67,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-3.03,-3.47,0.76,1.75,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04
34017,Hudson County,Hudson,194795,623,0.32,29.4,73431,781,1.06,11.08,95960,646,0.67,14.48,283504,0,0,42.79,203611,613,0.3,34.3,72039,715,0.99,12.14,65672,511,0.78,11.06,241075,0,0,40.61,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-4.9,-0.9,3.42,2.18,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04
34019,Hunterdon County,Hunterdon,109710,82,0.07,86.9,3030,142,4.69,2.4,4558,302,6.63,3.61,7399,0,0,5.86,114670,175,0.15,88.54,3494,281,8.04,2.7,4145,174,4.2,3.2,5559,0,0,4.29,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-1.64,-10.34,0.41,1.57,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04
34021,Mercer County,Mercer,193628,252,0.13,52.3,72449,577,0.8,19.57,37240,552,1.48,10.06,60119,0,0,16.24,212436,270,0.13,58.4,69854,628,0.9,19.2,28415,311,1.09,7.81,46694,0,0,12.84,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-6.1,6.16,2.25,3.4,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04
