GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US34,34,New Jersey,8904413,*****
0500000US34001,34001,"Atlantic County, New Jersey",275376,*****
0500000US34003,34003,"Bergen County, New Jersey",926330,*****
0500000US34005,34005,"Burlington County, New Jersey",450556,*****
0500000US34007,34007,"Camden County, New Jersey",511998,*****
0500000US34009,34009,"Cape May County, New Jersey",95805,*****
0500000US34011,34011,"Cumberland County, New Jersey",157035,*****
0500000US34013,34013,"Essex County, New Jersey",791609,*****
0500000US34015,34015,"Gloucester County, New Jersey",290298,*****
0500000US34017,34017,"Hudson County, New Jersey",662619,*****
0500000US34019,34019,"Hunterdon County, New Jersey",126250,*****
0500000US34021,34021,"Mercer County, New Jersey",370212,*****
0500000US34023,34023,"Middlesex County, New Jersey",830300,*****
0500000US34025,34025,"Monmouth County, New Jersey",629185,*****
0500000US34027,34027,"Morris County, New Jersey",498192,*****
0500000US34029,34029,"Ocean County, New Jersey",583450,*****
0500000US34031,34031,"Passaic County, New Jersey",507574,*****
0500000US34033,34033,"Salem County, New Jersey",65120,*****
0500000US34035,34035,"Somerset County, New Jersey",330604,*****
0500000US34037,34037,"Sussex County, New Jersey",145930,*****
0500000US34039,34039,"Union County, New Jersey",548744,*****
0500000US34041,34041,"Warren County, New Jersey",107226,*****
