GEOdisplaylabel,County,GEO.id,GEO.id2,GEOdisplaylabel_long,median_income_latest,median_income_latest_moe,median_income_prev_woinf,median_income_prev_moe_inf,median_income_prev,median_income_moe_prev,median_income_moe_latest_per,median_income_moe_prev_per,nj_median_income_latest,nj_median_income_prev,usa_median_income_latest,usa_median_income_prev,median_income_change,nj_median_income_change,usa_median_income_change,population_latest,population_latest_moe,population_prev,population_prev_moe,population_moe_latest_per,population_moe_prev_per,nj_population_latest,nj_population_prev,usa_population_latest,usa_population_prev,population_change,nj_population_change,usa_population_change,ledgerstyle,median_age_latest,median_age_moe_latest,median_age_moe_per_latest,median_age_prev,median_age_moe_prev,median_age_moe_per_prev,nj_median_age_latest,nj_median_age_prev,usa_median_age_latest,usa_median_age_prev,median_age_change,nj_median_age_change,usa_median_age_change,white_latest,white_moe_latest,white_moe_per_latest,white_per_latest,black_latest,black_moe_latest,black_moe_per_latest,black_per_latest,asian_latest,asian_moe_latest,asian_moe_per_latest,asian_per_latest,hispanic_latest,hispanic_moe_latest,hispanic_moe_per_latest,hispanic_per_latest,white_prev,white_moe_prev,white_moe_per_prev,white_per_prev,black_prev,black_moe_prev,black_moe_per_prev,black_per_prev,asian_prev,asian_moe_prev,asian_moe_per_prev,asian_per_prev,hispanic_prev,hispanic_moe_prev,hispanic_moe_per_prev,hispanic_per_prev,nj_white_latest,nj_white_prev,nj_black_latest,nj_black_prev,nj_asian_latest,nj_asian_prev,nj_hispanic_latest,nj_hispanic_prev,usa_white_latest,usa_white_prev,usa_black_latest,usa_black_prev,usa_asian_latest,usa_asian_prev,usa_hispanic_latest,usa_hispanic_prev,white_change,black_change,asian_change,hispanic_change,nj_white_change,nj_black_change,nj_asian_change,nj_hispanic_change,usa_white_change,usa_black_change,usa_asian_change,usa_hispanic_change,poverty_latest,poverty_moe_latest,poverty_moe_per_latest,poverty_per_latest,poverty_prev,poverty_moe_prev,poverty_moe_per_prev,poverty_per_prev,nj_poverty_latest,nj_poverty_prev,usa_poverty_latest,usa_poverty_prev,poverty_change,nj_poverty_change,usa_poverty_change,homevalue_latest,homevalue_moe_latest,homevalue_moe_latest_per,homevalue_prev_woinf,homevalue_moe_prev_woinf,homevalue_prev,homevalue_prev_moe,homevalue_prev_moe_per,nj_values_latest,nj_values_previous,us_values_latest,us_values_previous,value_change,nj_value_change,us_value_change,homecosts_latest,homecosts_latest_moe,homecosts_prev_woinf,homecosts_prev_moe_woinf,homecosts_prev,homecosts_prev_moe,homecosts_latest_moe_per,homecosts_prev_moe_per,nj_costs_latest,nj_costs_previous,us_costs_latest,us_costs_previous,cost_change,nj_cost_change,us_cost_change,meantime_latest,meantime_latest_moe,meantime_prev,meantime_prev_moe,meantime_latest_moe_per,meantime_prev_moe_per,nj_time_latest,nj_time_previous,us_time_latest,us_time_previous,time_change,nj_time_change,us_time_change
Absecon city,Atlantic,0600000US3400100100,3400100100,"Absecon city, Atlantic County",63656,9225,69782,8184,76732,8999,14.49195677,11.72795277,72093,75851,53889,56547,-17.04125553,-4.954874108,-4.700183964,8394,37,8179,22,0.440791041,0.268981538,8.9 million,8.6 million,317 million,301 million,2.628683213,2.934669572,4.993502106,Absecon,45.4,2,4.41,43.4,2,4.41,37.6,38.3,37.6,36.5,2,-0.7,1.1,6318,276,4.37,75.27,424,160,37.74,5.05,505,204,40.4,6.02,912,205,22.48,10.86,5891,379,6.43,72.03,779,247,31.71,9.52,748,336,44.92,9.15,604,280,46.36,7.38,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,3.24,-4.5,-3.13,3.48,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04,408,210,51.47,5,486,185,38.07,6.1,10.8,8.8,15.5,13.5,-1.2,2,2,206900,16458,7.9545674,259100,17220,285132,18950.08655,6.6460826,315900,392648,178600,204027,-27.4,-19.5,-12.5,1624,141,1530,117,1684,129,9,7.6470588,1901,2015,1084,1212,-3.546821596,-5.655687966,-10.53278622,22.7,2.4,19.3,1.6,10.5726872,8.2901554,31,29.6,25.9,25.2,17.61658031,4.72972973,2.777777778
Atlantic City city,Atlantic,0600000US3400102080,3400102080,"Atlantic City city, Atlantic County",25737,1450,30601,1999,33649,2198,5.633912266,6.532466259,72093,75851,53889,56547,-23.51283894,-4.954874108,-4.700183964,39547,47,39672,83,0.11884593,0.209215568,8.9 million,8.6 million,317 million,301 million,-0.315083686,2.934669572,4.993502106,Atlantic City,35.9,1.6,4.46,37.1,1.6,4.46,37.6,38.3,37.6,36.5,-1.2,-0.7,1.1,7354,600,8.16,18.6,14096,764,5.42,35.64,6505,702,10.79,16.45,10472,830,7.93,26.48,7926,784,9.89,19.98,15274,926,6.06,38.5,5763,674,11.7,14.53,9581,931,9.72,24.15,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-1.38,-2.9,1.92,2.33,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04,14453,966,6.68,36.9,9397,950,10.11,23.8,10.8,8.8,15.5,13.5,13.1,2,2,198200,15644,7.8930373,231100,10782,254319,11865.26325,4.6655128,315900,392648,178600,204027,-22.1,-19.5,-12.5,1487,90,1325,90,1458,99,6,6.7924528,1901,2015,1084,1212,1.980477144,-5.655687966,-10.53278622,19.1,0.9,20.8,1.1,4.7120419,5.2884615,31,29.6,25.9,25.2,-8.173076923,4.72972973,2.777777778
Brigantine city,Atlantic,0600000US3400107810,3400107810,"Brigantine city, Atlantic County",57031,6504,64375,6568,70787,7222,11.40432396,10.20271845,72093,75851,53889,56547,-19.43248238,-4.954874108,-4.700183964,9347,36,12701,34,0.385150316,0.267695457,8.9 million,8.6 million,317 million,301 million,-26.4073695,2.934669572,4.993502106,Brigantine,50.9,2.7,5.3,48.8,2.7,5.3,37.6,38.3,37.6,36.5,2.1,-0.7,1.1,7877,210,2.67,84.27,169,125,73.96,1.81,305,184,60.33,3.26,826,209,25.3,8.84,10659,576,5.4,83.92,177,136,76.84,1.39,765,443,57.91,6.02,1034,439,42.46,8.14,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,0.35,0.4,-2.76,0.7,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04,1107,330,29.81,11.9,906,429,47.35,7.1,10.8,8.8,15.5,13.5,4.8,2,2,364000,15718,4.3181319,448200,18508,493230,20367.49139,4.1294065,315900,392648,178600,204027,-26.2,-19.5,-12.5,1450,121,1471,118,1619,130,8,8.0217539,1901,2015,1084,1212,-10.42696722,-5.655687966,-10.53278622,28.9,3.1,23.5,2.5,10.7266436,10.6382979,31,29.6,25.9,25.2,22.9787234,4.72972973,2.777777778
Buena borough,Atlantic,0600000US3400108680,3400108680,"Buena borough, Atlantic County",46169,12942,54695,5781,60142,6357,28.03179623,10.56952189,72093,75851,53889,56547,-23.23397035,-4.954874108,-4.700183964,4566,25,3749,24,0.547525186,0.640170712,8.9 million,8.6 million,317 million,301 million,21.79247799,2.934669572,4.993502106,Buena,42.3,2.6,6.15,36.9,2.6,6.15,37.6,38.3,37.6,36.5,5.4,-0.7,1.1,3070,191,6.22,67.24,112,85,75.89,2.45,7,13,185.71,0.15,1362,162,11.89,29.83,2218,247,11.14,59.16,253,138,54.55,6.75,18,29,161.11,0.48,1111,240,21.6,29.63,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,8.08,-4.3,-0.33,0.2,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04,496,242,48.79,10.9,415,216,52.05,11.1,10.8,8.8,15.5,13.5,-0.1,2,2,187500,10554,5.6288,199800,25289,219874,27829.77577,12.6571572,315900,392648,178600,204027,-14.7,-19.5,-12.5,1397,127,1192,281,1312,309,9,23.5738255,1901,2015,1084,1212,6.498158935,-5.655687966,-10.53278622,27.7,3.2,28.9,3.3,11.5523466,11.4186851,31,29.6,25.9,25.2,-4.152249135,4.72972973,2.777777778
Buena Vista township,Atlantic,0600000US3400108710,3400108710,"Buena Vista township, Atlantic County",50421,2949,55541,7081,61073,7786,5.848753496,12.74914027,72093,75851,53889,56547,-17.44108096,-4.954874108,-4.700183964,7558,33,7409,21,0.436623445,0.283439061,8.9 million,8.6 million,317 million,301 million,2.01106762,2.934669572,4.993502106,Buena Vista,43.1,2.4,5.57,42.6,2.4,5.57,37.6,38.3,37.6,36.5,0.5,-0.7,1.1,5410,382,7.06,71.58,783,260,33.21,10.36,195,287,147.18,2.58,1045,332,31.77,13.83,5793,433,7.47,78.19,723,264,36.51,9.76,25,47,188,0.34,650,313,48.15,8.77,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-6.61,0.6,2.24,5.06,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04,1319,636,48.22,17.5,826,381,46.13,11.2,10.8,8.8,15.5,13.5,6.3,2,2,187100,12922,6.9064671,199900,16605,219984,18273.29774,8.3066533,315900,392648,178600,204027,-14.9,-19.5,-12.5,1300,141,1113,105,1225,116,11,9.4339623,1901,2015,1084,1212,6.137813661,-5.655687966,-10.53278622,25.2,2.7,29.2,2.7,10.7142857,9.2465753,31,29.6,25.9,25.2,-13.69863014,4.72972973,2.777777778
Corbin City city,Atlantic,0600000US3400115160,3400115160,"Corbin City city, Atlantic County",56875,21382,70694,9140,77735,10050,37.59472527,12.92896144,72093,75851,53889,56547,-26.83471104,-4.954874108,-4.700183964,482,78,553,109,16.18257261,19.71066908,8.9 million,8.6 million,317 million,301 million,-12.83905967,2.934669572,4.993502106,Corbin City,42.4,1.8,4.25,45.1,1.8,4.25,37.6,38.3,37.6,36.5,-2.7,-0.7,1.1,452,74,16.37,93.78,1,3,300,0.21,2,3,150,0.41,17,21,123.53,3.53,513,112,21.83,92.77,13,15,115.38,2.35,6,8,133.33,1.08,20,30,150,3.62,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,1.01,-2.1,-0.67,-0.09,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04,50,41,82,10.4,37,33,89.19,6.7,10.8,8.8,15.5,13.5,3.7,2,2,237500,33082,13.9292632,298100,60165,328050,66209.7536,20.1828246,315900,392648,178600,204027,-27.6,-19.5,-12.5,1214,207,1275,818,1403,900,17,64.1568627,1901,2015,1084,1212,-13.47722272,-5.655687966,-10.53278622,30.3,3.5,30.3,4.5,11.5511551,14.8514851,31,29.6,25.9,25.2,0,4.72972973,2.777777778
Egg Harbor township,Atlantic,0600000US3400120290,3400120290,"Egg Harbor township, Atlantic County",74409,5673,68596,3115,75428,3425,7.624077733,4.541081113,72093,75851,53889,56547,-1.350948399,-4.954874108,-4.700183964,43860,40,39162,46,0.09119927,0.117460804,8.9 million,8.6 million,317 million,301 million,11.99632297,2.934669572,4.993502106,Egg Harbor Township,40.3,1,2.48,38.7,1,2.48,37.6,38.3,37.6,36.5,1.6,-0.7,1.1,26213,875,3.34,59.77,3501,628,17.94,7.98,5153,511,9.92,11.75,7577,857,11.31,17.28,26241,834,3.18,67.01,3911,615,15.72,9.99,2931,411,14.02,7.48,5015,640,12.76,12.81,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-7.24,-2,4.27,4.47,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04,4138,891,21.53,9.5,1991,849,42.64,5.1,10.8,8.8,15.5,13.5,4.4,2,2,226400,7722,3.4107774,268300,9823,295256,10809.9129,3.6612001,315900,392648,178600,204027,-23.3,-19.5,-12.5,1724,92,1695,69,1865,76,5,4.0707965,1901,2015,1084,1212,-7.57498956,-5.655687966,-10.53278622,24.7,1.2,22.6,0.9,4.8582996,3.9823009,31,29.6,25.9,25.2,9.292035398,4.72972973,2.777777778
Egg Harbor City city,Atlantic,0600000US3400120350,3400120350,"Egg Harbor City city, Atlantic County",43235,7395,54367,9184,59782,10099,17.10419799,16.89260029,72093,75851,53889,56547,-27.67868199,-4.954874108,-4.700183964,4246,22,4404,16,0.518134715,0.363306085,8.9 million,8.6 million,317 million,301 million,-3.587647593,2.934669572,4.993502106,Egg Harbor City,34.2,2.8,8.19,41.6,2.8,8.19,37.6,38.3,37.6,36.5,-7.4,-0.7,1.1,1833,303,16.53,43.17,847,326,38.49,19.95,210,179,85.24,4.95,1302,430,33.03,30.66,2692,252,9.36,61.13,712,158,22.19,16.17,31,41,132.26,0.7,943,262,27.78,21.41,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-17.96,3.8,4.25,9.25,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04,660,239,36.21,15.7,552,216,39.13,12.5,10.8,8.8,15.5,13.5,3.2,2,2,160200,7744,4.8339576,216500,8523,238252,9379.302418,3.9367206,315900,392648,178600,204027,-32.8,-19.5,-12.5,1464,251,1476,118,1624,130,17,7.9945799,1901,2015,1084,1212,-9.868485518,-5.655687966,-10.53278622,25.6,4.1,26.3,3.4,16.015625,12.9277567,31,29.6,25.9,25.2,-2.661596958,4.72972973,2.777777778
Estell Manor city,Atlantic,0600000US3400121870,3400121870,"Estell Manor city, Atlantic County",78750,5932,73611,4826,80942,5307,7.532698413,6.556085368,72093,75851,53889,56547,-2.708682879,-4.954874108,-4.700183964,1728,180,1539,182,10.41666667,11.82586095,8.9 million,8.6 million,317 million,301 million,12.28070175,2.934669572,4.993502106,Estell Manor,45.2,3.3,7.3,40.2,3.3,7.3,37.6,38.3,37.6,36.5,5,-0.7,1.1,1598,173,10.83,92.48,18,23,127.78,1.04,4,7,175,0.23,89,59,66.29,5.15,1506,181,12.02,97.86,4,6,150,0.26,2,4,200,0.13,2,4,200,0.13,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-5.38,0.8,0.1,5.02,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04,87,51,58.62,5.1,96,71,73.96,6.2,10.8,8.8,15.5,13.5,-1.2,2,2,248700,15270,6.1399276,263600,27064,290084,29783.10931,10.2670713,315900,392648,178600,204027,-14.3,-19.5,-12.5,1680,121,1527,114,1680,125,7,7.4656189,1901,2015,1084,1212,-0.024820163,-5.655687966,-10.53278622,30.9,2.3,31.4,2.6,7.4433657,8.2802548,31,29.6,25.9,25.2,-1.592356688,4.72972973,2.777777778
Folsom borough,Atlantic,0600000US3400123940,3400123940,"Folsom borough, Atlantic County",66250,5747,71207,6938,78299,7629,8.674716981,9.743424102,72093,75851,53889,56547,-15.38849273,-4.954874108,-4.700183964,1891,138,1804,101,7.297726071,5.598669623,8.9 million,8.6 million,317 million,301 million,4.822616408,2.934669572,4.993502106,Folsom,42.7,1.9,4.45,40.2,1.9,4.45,37.6,38.3,37.6,36.5,2.5,-0.7,1.1,1530,125,8.17,80.91,165,129,78.18,8.73,10,8,80,0.53,150,64,42.67,7.93,1682,104,6.18,93.24,42,32,76.19,2.33,7,7,100,0.39,58,37,63.79,3.22,57.2,62.02,12.72,13.04,8.98,7.37,18.96,15.9,62.32,65.82,12.25,12.11,5.07,4.33,17.13,15.09,-12.33,6.4,0.14,4.71,-4.82,-0.32,1.61,3.06,-3.5,0.14,0.74,2.04,121,54,44.63,6.4,78,33,42.31,4.3,10.8,8.8,15.5,13.5,2.1,2,2,196400,13975,7.1155804,221000,7925,243204,8721.221596,3.5859729,315900,392648,178600,204027,-19.2,-19.5,-12.5,1434,160,1427,95,1570,105,11,6.6573231,1901,2015,1084,1212,-8.683947825,-5.655687966,-10.53278622,33,3,28.3,2.2,9.0909091,7.7738516,31,29.6,25.9,25.2,16.60777385,4.72972973,2.777777778
