GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US34001,34001,"Atlantic County, New Jersey",270016,*****
0500000US34003,34003,"Bergen County, New Jersey",888546,*****
0500000US34005,34005,"Burlington County, New Jersey",446301,*****
0500000US34007,34007,"Camden County, New Jersey",516937,*****
0500000US34009,34009,"Cape May County, New Jersey",97127,*****
0500000US34011,34011,"Cumberland County, New Jersey",155266,*****
0500000US34013,34013,"Essex County, New Jersey",771353,*****
0500000US34015,34015,"Gloucester County, New Jersey",284552,*****
0500000US34017,34017,"Hudson County, New Jersey",593615,*****
0500000US34019,34019,"Hunterdon County, New Jersey",129517,*****
0500000US34021,34021,"Mercer County, New Jersey",363778,*****
0500000US34023,34023,"Middlesex County, New Jersey",781957,*****
0500000US34025,34025,"Monmouth County, New Jersey",641984,*****
0500000US34027,34027,"Morris County, New Jersey",485828,*****
0500000US34029,34029,"Ocean County, New Jersey",565428,*****
0500000US34031,34031,"Passaic County, New Jersey",488793,*****
0500000US34033,34033,"Salem County, New Jersey",65982,*****
0500000US34035,34035,"Somerset County, New Jersey",320712,*****
0500000US34037,34037,"Sussex County, New Jersey",151239,*****
0500000US34039,34039,"Union County, New Jersey",522050,*****
0500000US34041,34041,"Warren County, New Jersey",109567,*****
