GEO.id,GEO.id2,GEO.display-label,latest,latest_moe,prev,prev_moe,nj_latest,usa_latest,nj_prev,usa_prev
0500000US34001,34001,"Atlantic County, New Jersey",275325,*****,270016,*****,8874374,314107084,8650548,301461533
0500000US34003,34003,"Bergen County, New Jersey",920456,*****,888546,*****,8874374,314107084,8650548,301461533
0500000US34005,34005,"Burlington County, New Jersey",450155,*****,446301,*****,8874374,314107084,8650548,301461533
0500000US34007,34007,"Camden County, New Jersey",512632,*****,516937,*****,8874374,314107084,8650548,301461533
0500000US34009,34009,"Cape May County, New Jersey",96286,*****,97127,*****,8874374,314107084,8650548,301461533
0500000US34011,34011,"Cumberland County, New Jersey",157429,*****,155266,*****,8874374,314107084,8650548,301461533
0500000US34013,34013,"Essex County, New Jersey",789616,*****,771353,*****,8874374,314107084,8650548,301461533
0500000US34015,34015,"Gloucester County, New Jersey",289705,*****,284552,*****,8874374,314107084,8650548,301461533
0500000US34017,34017,"Hudson County, New Jersey",654878,*****,593615,*****,8874374,314107084,8650548,301461533
0500000US34019,34019,"Hunterdon County, New Jersey",126746,*****,129517,*****,8874374,314107084,8650548,301461533
0500000US34021,34021,"Mercer County, New Jersey",369526,*****,363778,*****,8874374,314107084,8650548,301461533
0500000US34023,34023,"Middlesex County, New Jersey",824046,*****,781957,*****,8874374,314107084,8650548,301461533
0500000US34025,34025,"Monmouth County, New Jersey",629702,*****,641984,*****,8874374,314107084,8650548,301461533
0500000US34027,34027,"Morris County, New Jersey",497103,*****,485828,*****,8874374,314107084,8650548,301461533
0500000US34029,34029,"Ocean County, New Jersey",581413,*****,565428,*****,8874374,314107084,8650548,301461533
0500000US34031,34031,"Passaic County, New Jersey",505403,*****,488793,*****,8874374,314107084,8650548,301461533
0500000US34033,34033,"Salem County, New Jersey",65501,*****,65982,*****,8874374,314107084,8650548,301461533
0500000US34035,34035,"Somerset County, New Jersey",328704,*****,320712,*****,8874374,314107084,8650548,301461533
0500000US34037,34037,"Sussex County, New Jersey",146888,*****,151239,*****,8874374,314107084,8650548,301461533
0500000US34039,34039,"Union County, New Jersey",545236,*****,522050,*****,8874374,314107084,8650548,301461533
0500000US34041,34041,"Warren County, New Jersey",107624,*****,109567,*****,8874374,314107084,8650548,301461533
