GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0500000US34001,34001,"Atlantic County, New Jersey",101166,882,54392,1335,72.0,0.6,60759,1152,15.8,0.5,33596,2085,0.3,0.1,19087,14943,5.8,0.2,56597,5737,0.1,0.1,80591,48873,4.2,0.5,42514,2086,2.0,0.3,49950,10793,13.2,0.5,41373,2196,64.8,0.6,63277,1620,2.1,0.3,32500,5419,28.8,0.7,54099,2027,44.2,0.7,65633,1549,24.8,0.5,40231,1971,67414,1147,66360,1490,43.6,1.2,56638,2221,56.4,1.2,73293,1971,67.3,1.2,83602,2000,24.4,1.0,36191,1666,8.2,0.8,49648,3543,33752,1049,31444,1463,54.8,1.4,28943,1843,46.9,1.4,25359,1302,8.0,1.1,65905,6546,45.2,1.4,35365,3365,36.8,1.5,29948,2459,8.3,0.9,61305,4940,34.8,(X),(X),(X),35.4,(X),(X),(X),31.0,(X),(X),(X)
0500000US34003,34003,"Bergen County, New Jersey",335671,1178,83686,1281,74.6,0.3,86109,1161,5.7,0.2,64001,2121,0.2,0.1,41270,23181,13.7,0.2,92885,1923,0.0,0.1,71220,7900,4.5,0.2,57457,5993,1.4,0.1,71600,6504,14.4,0.3,62480,2486,65.5,0.3,89493,1284,1.4,0.2,43788,3978,30.6,0.3,91917,2189,43.2,0.3,101354,1542,24.8,0.3,50542,1593,240414,1794,102429,1439,44.2,0.5,110793,2391,55.8,0.5,96362,1425,78.2,0.6,118052,1918,15.7,0.5,53461,1816,6.1,0.3,68587,5382,95257,1878,44064,1383,58.3,1.0,37104,1683,52.3,1.0,33261,1216,6.0,0.5,87352,4766,41.7,1.0,54239,1804,34.0,0.9,49713,2519,7.7,0.7,85852,2877,31.3,(X),(X),(X),31.9,(X),(X),(X),28.2,(X),(X),(X)
0500000US34005,34005,"Burlington County, New Jersey",164736,956,79612,1097,77.4,0.4,81431,918,15.0,0.3,68278,2079,0.1,0.1,64777,10728,3.6,0.2,109869,12092,0.0,0.1,151417,9990,1.8,0.2,61926,6918,2.0,0.2,74428,9833,4.9,0.2,69835,7321,74.6,0.4,81856,975,1.5,0.2,39661,6752,29.2,0.5,85318,2113,44.5,0.4,96165,1546,24.7,0.4,49646,1488,115647,1121,95974,1213,43.2,0.6,100295,2312,56.8,0.6,93489,1227,77.1,0.8,109276,1397,16.6,0.7,55445,2537,6.3,0.5,64310,4909,49089,1171,44899,1398,57.1,1.2,38733,1887,50.1,1.3,34551,1316,7.0,0.7,81720,5493,42.9,1.2,52014,1668,34.2,1.2,46572,1754,8.7,1.0,78677,6924,27.2,(X),(X),(X),28.0,(X),(X),(X),23.9,(X),(X),(X)
0500000US34007,34007,"Camden County, New Jersey",187121,994,61842,1064,67.5,0.5,70691,966,19.4,0.4,42645,2312,0.3,0.1,22274,9877,4.6,0.2,75342,5568,0.0,0.1,14556,101192,6.5,0.3,36126,4441,1.7,0.2,54066,6969,11.4,0.3,39174,2713,64.0,0.4,72151,1015,2.1,0.2,24406,4247,32.8,0.4,65636,2067,42.2,0.4,76775,1365,23.0,0.3,38476,1424,125928,1509,76671,1215,45.1,0.6,73551,2712,54.9,0.6,79018,1853,68.2,0.9,94795,1786,24.0,0.8,36058,1553,7.8,0.6,52172,2326,61193,1271,34314,1009,57.1,1.1,28915,1260,50.2,1.1,25802,1041,6.9,0.6,67257,5929,42.9,1.1,40939,2001,33.7,1.1,34974,1546,9.2,0.8,79040,5639,34.7,(X),(X),(X),35.8,(X),(X),(X),30.7,(X),(X),(X)
0500000US34009,34009,"Cape May County, New Jersey",41069,915,57394,1758,93.7,0.6,58536,1839,3.6,0.6,39774,4406,0.2,0.2,19191,49988,0.7,0.1,59875,79835,0.0,0.1,-,**,0.8,0.3,33906,26434,0.9,0.3,32917,24956,3.9,0.5,45821,17156,91.1,0.7,59092,1914,2.5,0.6,27449,6308,21.1,0.9,63486,4685,42.4,0.9,76395,3481,33.9,0.8,41680,1564,26685,620,75370,2906,33.8,1.4,74831,6698,66.2,1.4,75533,3155,79.3,1.9,83348,2337,14.7,1.6,40162,6669,6.0,0.9,51748,2584,14384,711,32977,2621,57.9,2.0,30939,2300,51.2,2.3,27878,1719,6.7,1.2,58344,12185,42.1,2.0,36986,4726,35.8,2.1,31595,3801,6.3,1.5,69500,17652,28.8,(X),(X),(X),30.3,(X),(X),(X),25.3,(X),(X),(X)
0500000US34011,34011,"Cumberland County, New Jersey",50399,578,50603,1419,70.1,0.8,55833,1891,16.8,0.7,41804,2876,0.8,0.2,36346,27865,1.2,0.2,72938,52351,0.0,0.1,-,**,8.9,0.9,38735,8775,2.3,0.5,46204,12961,20.4,1.0,39586,4850,60.6,0.9,58183,1956,2.8,0.5,27080,3232,31.7,0.9,52993,2840,40.9,0.9,62452,3644,24.6,0.7,34413,2223,35157,678,59327,2072,44.1,1.6,53673,2970,55.9,1.6,62400,2857,63.1,1.8,75251,2136,27.6,1.6,31532,2549,9.3,1.2,47068,3614,15242,659,28208,2850,55.8,2.4,24857,1782,48.4,2.2,22122,1650,7.4,1.3,68025,9461,44.2,2.4,34364,5089,33.5,2.6,28007,3441,10.7,1.8,56303,7295,35.8,(X),(X),(X),37.1,(X),(X),(X),28.8,(X),(X),(X)
0500000US34013,34013,"Essex County, New Jersey",277745,1334,54499,756,44.4,0.4,80010,1620,41.4,0.4,37882,949,0.3,0.1,32892,7872,4.1,0.1,103173,5891,0.0,0.1,31797,48484,7.6,0.3,37868,1594,2.2,0.2,41601,5502,17.5,0.3,43202,1830,36.0,0.3,90226,2129,2.3,0.2,22632,3184,35.9,0.3,53844,1178,41.0,0.3,67317,1550,20.9,0.3,36625,1352,180154,1591,69018,1620,50.2,0.5,62943,1757,49.8,0.5,74651,2054,59.7,0.6,103507,1986,30.9,0.6,33990,1367,9.4,0.4,43370,2621,97591,1400,31745,690,55.4,1.0,27696,997,49.1,1.0,24906,981,6.3,0.5,67680,4279,44.6,1.0,36732,1437,36.5,0.9,31849,884,8.0,0.6,64113,4750,38.0,(X),(X),(X),39.2,(X),(X),(X),33.0,(X),(X),(X)
0500000US34015,34015,"Gloucester County, New Jersey",104435,628,76213,1293,85.0,0.4,78913,1774,9.9,0.4,57595,6091,0.2,0.1,45817,33203,2.2,0.1,106563,10207,0.0,0.1,-,**,1.5,0.2,52396,8523,1.3,0.3,55278,12970,3.8,0.3,54641,3830,83.2,0.4,79307,1800,2.3,0.3,24479,7350,30.8,0.5,86093,2402,44.5,0.6,90765,2046,22.4,0.4,44270,1236,75799,923,90352,1599,44.6,0.7,97880,3291,55.4,0.7,86530,2047,76.5,1.1,104909,1896,17.2,0.9,46634,3625,6.2,0.6,65562,6259,28636,875,39676,1936,55.0,1.4,33727,2088,47.5,1.6,30120,1933,7.6,0.9,71359,7069,45.0,1.4,47285,2289,35.0,1.7,42336,4259,10.0,1.3,66471,7146,27.9,(X),(X),(X),28.9,(X),(X),(X),24.1,(X),(X),(X)
0500000US34017,34017,"Hudson County, New Jersey",246135,1315,58973,1294,59.8,0.5,60698,1160,12.4,0.3,44252,2422,0.3,0.1,39519,21854,13.5,0.3,92096,3389,0.0,0.1,87548,93692,11.6,0.4,42731,2295,2.4,0.2,60057,9806,37.7,0.4,42945,1284,36.1,0.4,76523,1422,3.1,0.2,38321,3375,45.3,0.5,75052,1469,34.9,0.4,59549,1925,16.7,0.3,30040,1358,151838,1323,62103,1284,46.2,0.8,52988,1524,53.8,0.8,69819,1679,61.8,0.9,82861,1763,27.8,0.8,31767,1255,10.4,0.6,50022,2656,94297,1328,48792,1451,48.5,0.9,35531,2148,39.0,1.0,27110,1164,9.5,0.6,92341,8980,51.5,0.9,59256,2613,36.6,1.0,47249,2485,14.9,0.8,102789,4025,39.1,(X),(X),(X),42.0,(X),(X),(X),31.8,(X),(X),(X)
