GEO.id,GEO.id2,GEOdisplaylabel,latest,latest_moe,prev,prev_moe,nj_latest,usa_latest,nj_prev,usa_prev,inflation,median_house_income_prev_woinf,nj_median_income_prev_woinf,usa_median_income_prev_woinf
0500000US34001,34001,Atlantic County,54392,1335,60618,1014,72062,53482,76119,56746,0.1136,54934,68981,51425
0500000US34003,34003,Bergen County,83686,1281,89768,996,72062,53482,76119,56746,0.1136,81350,68981,51425
0500000US34005,34005,Burlington County,79612,1097,83183,896,72062,53482,76119,56746,0.1136,75383,68981,51425
0500000US34007,34007,Camden County,61842,1064,66608,899,72062,53482,76119,56746,0.1136,60362,68981,51425
0500000US34009,34009,Cape May County,57394,1758,60074,1687,72062,53482,76119,56746,0.1136,54441,68981,51425
0500000US34011,34011,Cumberland County,50603,1419,55212,1471,72062,53482,76119,56746,0.1136,50035,68981,51425
0500000US34013,34013,Essex County,54499,756,59782,823,72062,53482,76119,56746,0.1136,54176,68981,51425
0500000US34015,34015,Gloucester County,76213,1293,79321,1413,72062,53482,76119,56746,0.1136,71883,68981,51425
0500000US34017,34017,Hudson County,58973,1294,59008,982,72062,53482,76119,56746,0.1136,53475,68981,51425
0500000US34019,34019,Hunterdon County,106519,3055,113106,2533,72062,53482,76119,56746,0.1136,102500,68981,51425
0500000US34021,34021,Mercer County,74118,1465,79193,1634,72062,53482,76119,56746,0.1136,71767,68981,51425
0500000US34023,34023,Middlesex County,80118,876,84218,749,72062,53482,76119,56746,0.1136,76321,68981,51425
0500000US34025,34025,Monmouth County,85605,997,90499,1057,72062,53482,76119,56746,0.1136,82013,68981,51425
0500000US34027,34027,Morris County,99142,1213,106282,1374,72062,53482,76119,56746,0.1136,96316,68981,51425
0500000US34029,34029,Ocean County,61839,718,66141,919,72062,53482,76119,56746,0.1136,59939,68981,51425
0500000US34031,34031,Passaic County,59513,1285,60567,1104,72062,53482,76119,56746,0.1136,54888,68981,51425
0500000US34033,34033,Salem County,60768,2502,65604,2491,72062,53482,76119,56746,0.1136,59452,68981,51425
0500000US34035,34035,Somerset County,100903,1388,106191,1782,72062,53482,76119,56746,0.1136,96233,68981,51425
0500000US34037,34037,Sussex County,87397,2020,89920,1578,72062,53482,76119,56746,0.1136,81488,68981,51425
0500000US34039,34039,Union County,69396,1269,73307,1026,72062,53482,76119,56746,0.1136,66433,68981,51425
0500000US34041,34041,Warren County,70934,1742,76986,1978,72062,53482,76119,56746,0.1136,69767,68981,51425
