COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,DFG,SUBGROUP,SUBGROUP_TYPE,LATEST_REGISTERED TO TEST_MATH,LATEST_NOT TESTED ** (See Below)_MATH,LATEST_VALID SCORES_MATH,LATEST_MEAN SCALE SCORE_MATH,LATEST_L1 PERCENT_MATH,LATEST_L2 PERCENT_MATH,LATEST_L3 PERCENT_MATH,LATEST_L4 PERCENT_MATH,LATEST_L5 PERCENT_MATH,GRADE,LATEST_REGISTERED TO TEST_LA,LATEST_NOT TESTED ** (See Below)_LA,LATEST_VALID SCORES_LA,LATEST_MEAN SCALE SCORE_LA,LATEST_L1 PERCENT_LA,LATEST_L2 PERCENT_LA,LATEST_L3 PERCENT_LA,LATEST_L4 PERCENT_LA,LATEST_L5 PERCENT_LA
01,ATLANTIC,0010,ABSECON CITY,60.0,H ASHTON MARSH,CD,TOTAL,ALL STUDENTS,*,*,91,732,16.5,22,27.5,33,1.1,3,*,*,91,732,23.1,20.9,17.6,37.4,1.1
01,ATLANTIC,0010,ABSECON CITY,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,*,*,91,732,16.5,22,27.5,33,1.1,3,*,*,91,732,23.1,20.9,17.6,37.4,1.1
01,ATLANTIC,0110,ATLANTIC CITY,30.0,SOVEREIGN AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,71,737,11.3,21.1,31,33.8,2.8,3,*,*,69,726,20.3,26.1,29,24.6,0
01,ATLANTIC,0110,ATLANTIC CITY,50.0,CHELSEA HEIGHTS SCHOOL,A,TOTAL,ALL STUDENTS,*,*,38,734,13.2,21.1,36.8,21.1,7.9,3,*,*,37,734,18.9,27,24.3,24.3,5.4
01,ATLANTIC,0110,ATLANTIC CITY,60.0,TEXAS AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,63,726,19,31.7,23.8,22.2,3.2,3,*,*,62,717,33.9,27.4,16.1,22.6,0
01,ATLANTIC,0110,ATLANTIC CITY,70.0,NEW YORK AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,63,710,36.5,28.6,19,15.9,0,3,*,*,64,700,57.8,17.2,20.3,4.7,0
01,ATLANTIC,0110,ATLANTIC CITY,80.0,UPTOWN SCHOOL COMPLEX,A,TOTAL,ALL STUDENTS,*,*,52,714,25,40.4,23.1,11.5,0,3,*,*,52,705,44.2,26.9,21.2,7.7,0
01,ATLANTIC,0110,ATLANTIC CITY,100.0,PENNSYLVANIA AVE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,59,734,18.6,23.7,20.3,33.9,3.4,3,*,*,58,724,27.6,27.6,19,25.9,0
01,ATLANTIC,0110,ATLANTIC CITY,120.0,RICHMOND AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,70,748,10,20,15.7,44.3,10,3,*,*,69,748,13,18.8,17.4,44.9,5.8
01,ATLANTIC,0110,ATLANTIC CITY,140.0,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,A,TOTAL,ALL STUDENTS,*,*,58,719,24.1,31,31,13.8,0,3,*,*,58,705,46.6,29.3,13.8,10.3,0
01,ATLANTIC,0110,ATLANTIC CITY,300.0,BRIGHTON AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,60,741,13.3,15,31.7,35,5,3,*,*,60,733,20,23.3,23.3,26.7,6.7
01,ATLANTIC,0110,ATLANTIC CITY,,DISTRICT WIDE,A,TOTAL,ALL STUDENTS,545,11,534,730,18.9,25.7,25.3,26.6,3.6,3,541,12,529,721,31.4,24.6,20.4,21.7,1.9
01,ATLANTIC,0570,BRIGANTINE CITY,10.0,BRIGANTINE ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,61,745,3.3,19.7,29.5,44.3,3.3,3,*,*,60,737,13.3,20,26.7,40,0
01,ATLANTIC,0570,BRIGANTINE CITY,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,*,*,61,745,3.3,19.7,29.5,44.3,3.3,3,*,*,60,737,13.3,20,26.7,40,0
01,ATLANTIC,0590,BUENA REGIONAL,45.0,COLLINGS LAKES ELEMENTARY SCHOOL,A,TOTAL,ALL STUDENTS,*,*,30,752,0,16.7,26.7,50,6.7,3,*,*,30,736,16.7,13.3,36.7,33.3,0
01,ATLANTIC,0590,BUENA REGIONAL,55.0,JOHN C. MILANESI ELEMENTARY SCHOOL,A,TOTAL,ALL STUDENTS,*,*,61,748,9.8,19.7,19.7,36.1,14.8,3,*,*,61,739,21.3,14.8,19.7,39.3,4.9
01,ATLANTIC,0590,BUENA REGIONAL,,DISTRICT WIDE,A,TOTAL,ALL STUDENTS,*,*,92,748,7.6,18.5,21.7,40.2,12,3,*,*,92,737,20.7,14.1,25,37,3.3
01,ATLANTIC,1300,EGG HARBOR CITY,20.0,CHARLES L. SPRAGG SCHOOL,A,TOTAL,ALL STUDENTS,*,*,56,719,21.4,37.5,26.8,12.5,1.8,3,*,*,56,708,41.1,25,17.9,14.3,1.8
01,ATLANTIC,1300,EGG HARBOR CITY,,DISTRICT WIDE,A,TOTAL,ALL STUDENTS,*,*,56,719,21.4,37.5,26.8,12.5,1.8,3,*,*,56,708,41.1,25,17.9,14.3,1.8
01,ATLANTIC,1310,EGG HARBOR TWP,33.0,CLAYTON J. DAVENPORT ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,211,740,11.8,18.5,31.8,32.2,5.7,3,*,*,209,742,11,20.6,27.3,37.3,3.8
01,ATLANTIC,1310,EGG HARBOR TWP,35.0,E. H. SLAYBAUGH ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,223,28,195,745,6.7,23.6,25.1,35.4,9.2,3,223,28,195,745,11.3,15.9,24.1,45.1,3.6
01,ATLANTIC,1310,EGG HARBOR TWP,50.0,H. RUSSEL SWIFT ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,110,751,7.3,10,31.8,39.1,11.8,3,*,*,110,748,8.2,10.9,25.5,53.6,1.8
01,ATLANTIC,1310,EGG HARBOR TWP,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,551,35,516,744,8.9,18.6,29.3,34.9,8.3,3,549,35,514,745,10.5,16.7,25.7,43.8,3.3
01,ATLANTIC,1410,ESTELL MANOR CITY,50.0,ESTELL MANOR ELEMENTARY SCHOOL,DE,TOTAL,ALL STUDENTS,*,*,22,744,13.6,9.1,31.8,40.9,4.5,3,*,*,22,726,13.6,31.8,36.4,18.2,0
01,ATLANTIC,1410,ESTELL MANOR CITY,,DISTRICT WIDE,DE,TOTAL,ALL STUDENTS,*,*,22,744,13.6,9.1,31.8,40.9,4.5,3,*,*,22,726,13.6,31.8,36.4,18.2,0
01,ATLANTIC,1540,FOLSOM BORO,50.0,FOLSOM ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,50,741,4,24,34,34,4,3,*,*,50,730,18,24,34,24,0
01,ATLANTIC,1540,FOLSOM BORO,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,*,*,50,741,4,24,34,34,4,3,*,*,50,730,18,24,34,24,0
01,ATLANTIC,1690,GALLOWAY TWP,15.0,ARTHUR RANN ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,90,747,2.2,17.8,35.6,33.3,11.1,3,*,*,90,742,12.2,21.1,25.6,36.7,4.4
01,ATLANTIC,1690,GALLOWAY TWP,45.0,REEDS ROAD ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,87,752,6.9,13.8,25.3,40.2,13.8,3,*,*,87,738,12.6,20.7,29.9,36.8,0
01,ATLANTIC,1690,GALLOWAY TWP,46.0,ROLAND ROGERS ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,71,749,12.7,11.3,25.4,36.6,14.1,3,*,*,71,741,15.5,15.5,23.9,42.3,2.8
01,ATLANTIC,1690,GALLOWAY TWP,48.0,SMITHVILLE ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,90,753,3.3,20,22.2,40,14.4,3,*,*,89,742,14.6,16.9,23.6,41.6,3.4
01,ATLANTIC,1690,GALLOWAY TWP,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,351,13,338,750,5.9,16,27.2,37.6,13.3,3,350,13,337,741,13.6,18.7,25.8,39.2,2.7
01,ATLANTIC,1940,HAMILTON TWP,55.0,GEORGE L. HESS EDUCATIONAL COMPLEX,CD,TOTAL,ALL STUDENTS,334,13,321,745,7.5,16.5,28.7,43,4.4,3,*,*,325,740,14.2,16.3,28,38.8,2.8
01,ATLANTIC,1940,HAMILTON TWP,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,334,13,321,745,7.5,16.5,28.7,43,4.4,3,*,*,325,740,14.2,16.3,28,38.8,2.8
01,ATLANTIC,1960,HAMMONTON TOWN,55.0,WARREN E. SOOY JR. ELEMENTARY SCHOOL,B,TOTAL,ALL STUDENTS,*,*,193,750,6.2,17.1,25.4,37.8,13.5,3,*,*,193,750,9.3,20.7,23.8,36.8,9.3
01,ATLANTIC,1960,HAMMONTON TOWN,,DISTRICT WIDE,B,TOTAL,ALL STUDENTS,*,*,193,750,6.2,17.1,25.4,37.8,13.5,3,*,*,193,750,9.3,20.7,23.8,36.8,9.3
01,ATLANTIC,2680,LINWOOD CITY,50.0,SEAVIEW ELEMENTARY SCHOOL,GH,TOTAL,ALL STUDENTS,*,*,86,774,0,2.3,17.4,48.8,31.4,3,*,*,86,769,1.2,15.1,18.6,44.2,20.9
01,ATLANTIC,2680,LINWOOD CITY,,DISTRICT WIDE,GH,TOTAL,ALL STUDENTS,*,*,86,774,0,2.3,17.4,48.8,31.4,3,*,*,86,769,1.2,15.1,18.6,44.2,20.9
01,ATLANTIC,3020,MARGATE CITY,25.0,WILLIAM H. ROSS III SCHOOL,DE,TOTAL,ALL STUDENTS,*,*,46,783,0,2.2,2.2,60.9,34.8,3,*,*,45,781,2.2,0,13.3,66.7,17.8
