,COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,DFG,SUBGROUP,SUBGROUP_TYPE,REGISTERED TO TEST,NOT TESTED ** (See Below),VALID SCORES,MEAN SCALE SCORE,L1 PERCENT,L2 PERCENT,L3 PERCENT,L4 PERCENT,L5 PERCENT,GRADE
0,01,ATLANTIC,0010,ABSECON CITY,60.0,H ASHTON MARSH,CD,TOTAL,ALL STUDENTS,*,*,91,732,16.5,22,27.5,33,1.1,3
15,01,ATLANTIC,0010,ABSECON CITY,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,*,*,91,732,16.5,22,27.5,33,1.1,3
30,01,ATLANTIC,0110,ATLANTIC CITY,30.0,SOVEREIGN AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,71,737,11.3,21.1,31,33.8,2.8,3
44,01,ATLANTIC,0110,ATLANTIC CITY,50.0,CHELSEA HEIGHTS SCHOOL,A,TOTAL,ALL STUDENTS,*,*,38,734,13.2,21.1,36.8,21.1,7.9,3
58,01,ATLANTIC,0110,ATLANTIC CITY,60.0,TEXAS AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,63,726,19,31.7,23.8,22.2,3.2,3
72,01,ATLANTIC,0110,ATLANTIC CITY,70.0,NEW YORK AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,63,710,36.5,28.6,19,15.9,0,3
87,01,ATLANTIC,0110,ATLANTIC CITY,80.0,UPTOWN SCHOOL COMPLEX,A,TOTAL,ALL STUDENTS,*,*,52,714,25,40.4,23.1,11.5,0,3
101,01,ATLANTIC,0110,ATLANTIC CITY,100.0,PENNSYLVANIA AVE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,59,734,18.6,23.7,20.3,33.9,3.4,3
116,01,ATLANTIC,0110,ATLANTIC CITY,120.0,RICHMOND AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,70,748,10,20,15.7,44.3,10,3
132,01,ATLANTIC,0110,ATLANTIC CITY,140.0,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,A,TOTAL,ALL STUDENTS,*,*,58,719,24.1,31,31,13.8,0,3
144,01,ATLANTIC,0110,ATLANTIC CITY,300.0,BRIGHTON AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,60,741,13.3,15,31.7,35,5,3
158,01,ATLANTIC,0110,ATLANTIC CITY,,DISTRICT WIDE,A,TOTAL,ALL STUDENTS,545,11,534,730,18.9,25.7,25.3,26.6,3.6,3
174,01,ATLANTIC,0570,BRIGANTINE CITY,10.0,BRIGANTINE ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,61,745,3.3,19.7,29.5,44.3,3.3,3
187,01,ATLANTIC,0570,BRIGANTINE CITY,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,*,*,61,745,3.3,19.7,29.5,44.3,3.3,3
