COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,DFG,SUBGROUP,SUBGROUP_TYPE,PREV_REGISTERED TO TEST_MATH,PREV_NOT TESTED ** (See Below)_MATH,PREV_VALID SCORES_MATH,PREV_MEAN SCALE SCORE_MATH,PREV_L1 PERCENT_MATH,PREV_L2 PERCENT_MATH,PREV_L3 PERCENT_MATH,PREV_L4 PERCENT_MATH,PREV_L5 PERCENT_MATH,GRADE,PREV_REGISTERED TO TEST_LA,PREV_NOT TESTED ** (See Below)_LA,PREV_VALID SCORES_LA,PREV_MEAN SCALE SCORE_LA,PREV_L1 PERCENT_LA,PREV_L2 PERCENT_LA,PREV_L3 PERCENT_LA,PREV_L4 PERCENT_LA,PREV_L5 PERCENT_LA
01,ATLANTIC,0010,ABSECON CITY,60.0,H ASHTON MARSH,CD,TOTAL,ALL STUDENTS,90,22,68,739,4.4,23.5,30.9,38.2,2.9,3,90,22,68,740,16.2,19.1,20.6,42.6,1.5
01,ATLANTIC,0010,ABSECON CITY,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,90,22,68,739,4.4,23.5,30.9,38.2,2.9,3,90,22,68,740,16.2,19.1,20.6,42.6,1.5
01,ATLANTIC,0110,ATLANTIC CITY,30.0,SOVEREIGN AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,76,737,13.2,13.2,36.8,31.6,5.3,3,*,*,72,722,27.8,27.8,25,18.1,1.4
01,ATLANTIC,0110,ATLANTIC CITY,50.0,CHELSEA HEIGHTS SCHOOL,A,TOTAL,ALL STUDENTS,*,*,37,739,2.7,27,35.1,32.4,2.7,3,*,*,37,746,5.4,18.9,27,45.9,2.7
01,ATLANTIC,0110,ATLANTIC CITY,60.0,TEXAS AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,74,726,14.9,39.2,31.1,12.2,2.7,3,*,*,74,710,37.8,36.5,14.9,10.8,0
01,ATLANTIC,0110,ATLANTIC CITY,70.0,NEW YORK AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,58,716,24.1,39.7,24.1,12.1,0,3,*,*,58,714,39.7,25.9,15.5,19,0
01,ATLANTIC,0110,ATLANTIC CITY,80.0,UPTOWN SCHOOL COMPLEX,A,TOTAL,ALL STUDENTS,*,*,63,725,22.2,20.6,38.1,14.3,4.8,3,*,*,63,712,33.3,31.7,23.8,11.1,0
01,ATLANTIC,0110,ATLANTIC CITY,100.0,PENNSYLVANIA AVE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,52,725,19.2,30.8,28.8,17.3,3.8,3,*,*,48,711,43.8,27.1,16.7,10.4,2.1
01,ATLANTIC,0110,ATLANTIC CITY,120.0,RICHMOND AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,56,734,5.4,32.1,39.3,23.2,0,3,*,*,55,733,16.4,18.2,40,23.6,1.8
01,ATLANTIC,0110,ATLANTIC CITY,140.0,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,A,TOTAL,ALL STUDENTS,*,*,79,709,35.4,27.8,32.9,3.8,0,3,*,*,77,707,46.8,24.7,18.2,10.4,0
