COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,DFG,SUBGROUP,SUBGROUP_TYPE,LATEST_REGISTERED TO TEST_MATH,LATEST_NOT TESTED ** (See Below)_MATH,LATEST_VALID SCORES_MATH,LATEST_MEAN SCALE SCORE_MATH,LATEST_L1 PERCENT_MATH,LATEST_L2 PERCENT_MATH,LATEST_L3 PERCENT_MATH,LATEST_L4 PERCENT_MATH,LATEST_L5 PERCENT_MATH,GRADE,LATEST_REGISTERED TO TEST_LA,LATEST_NOT TESTED ** (See Below)_LA,LATEST_VALID SCORES_LA,LATEST_MEAN SCALE SCORE_LA,LATEST_L1 PERCENT_LA,LATEST_L2 PERCENT_LA,LATEST_L3 PERCENT_LA,LATEST_L4 PERCENT_LA,LATEST_L5 PERCENT_LA,PREV_REGISTERED TO TEST_MATH,PREV_NOT TESTED ** (See Below)_MATH,PREV_VALID SCORES_MATH,PREV_MEAN SCALE SCORE_MATH,PREV_L1 PERCENT_MATH,PREV_L2 PERCENT_MATH,PREV_L3 PERCENT_MATH,PREV_L4 PERCENT_MATH,PREV_L5 PERCENT_MATH,PREV_REGISTERED TO TEST_LA,PREV_NOT TESTED ** (See Below)_LA,PREV_VALID SCORES_LA,PREV_MEAN SCALE SCORE_LA,PREV_L1 PERCENT_LA,PREV_L2 PERCENT_LA,PREV_L3 PERCENT_LA,PREV_L4 PERCENT_LA,PREV_L5 PERCENT_LA
1.0,ATLANTIC,10.0,ABSECON CITY,60.0,H ASHTON MARSH,CD,TOTAL,ALL STUDENTS,*,*,91.0,732.0,16.5,22.0,27.5,33.0,1.1,3,*,*,91.0,732.0,23.1,20.9,17.6,37.4,1.1,90,22,68.0,739.0,4.4,23.5,30.9,38.2,2.9,90,22,68.0,740.0,16.2,19.1,20.6,42.6,1.5
1.0,ATLANTIC,10.0,ABSECON CITY,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,*,*,91.0,732.0,16.5,22.0,27.5,33.0,1.1,3,*,*,91.0,732.0,23.1,20.9,17.6,37.4,1.1,90,22,68.0,739.0,4.4,23.5,30.9,38.2,2.9,90,22,68.0,740.0,16.2,19.1,20.6,42.6,1.5
1.0,ATLANTIC,110.0,ATLANTIC CITY,30.0,SOVEREIGN AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,71.0,737.0,11.3,21.1,31.0,33.8,2.8,3,*,*,69.0,726.0,20.3,26.1,29.0,24.6,0.0,*,*,76.0,737.0,13.2,13.2,36.8,31.6,5.3,*,*,72.0,722.0,27.8,27.8,25.0,18.1,1.4
1.0,ATLANTIC,110.0,ATLANTIC CITY,50.0,CHELSEA HEIGHTS SCHOOL,A,TOTAL,ALL STUDENTS,*,*,38.0,734.0,13.2,21.1,36.8,21.1,7.9,3,*,*,37.0,734.0,18.9,27.0,24.3,24.3,5.4,*,*,37.0,739.0,2.7,27.0,35.1,32.4,2.7,*,*,37.0,746.0,5.4,18.9,27.0,45.9,2.7
1.0,ATLANTIC,110.0,ATLANTIC CITY,60.0,TEXAS AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,63.0,726.0,19.0,31.7,23.8,22.2,3.2,3,*,*,62.0,717.0,33.9,27.4,16.1,22.6,0.0,*,*,74.0,726.0,14.9,39.2,31.1,12.2,2.7,*,*,74.0,710.0,37.8,36.5,14.9,10.8,0.0
1.0,ATLANTIC,110.0,ATLANTIC CITY,70.0,NEW YORK AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,63.0,710.0,36.5,28.6,19.0,15.9,0.0,3,*,*,64.0,700.0,57.8,17.2,20.3,4.7,0.0,*,*,58.0,716.0,24.1,39.7,24.1,12.1,0.0,*,*,58.0,714.0,39.7,25.9,15.5,19.0,0.0
1.0,ATLANTIC,110.0,ATLANTIC CITY,80.0,UPTOWN SCHOOL COMPLEX,A,TOTAL,ALL STUDENTS,*,*,52.0,714.0,25.0,40.4,23.1,11.5,0.0,3,*,*,52.0,705.0,44.2,26.9,21.2,7.7,0.0,*,*,63.0,725.0,22.2,20.6,38.1,14.3,4.8,*,*,63.0,712.0,33.3,31.7,23.8,11.1,0.0
1.0,ATLANTIC,110.0,ATLANTIC CITY,100.0,PENNSYLVANIA AVE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,59.0,734.0,18.6,23.7,20.3,33.9,3.4,3,*,*,58.0,724.0,27.6,27.6,19.0,25.9,0.0,*,*,52.0,725.0,19.2,30.8,28.8,17.3,3.8,*,*,48.0,711.0,43.8,27.1,16.7,10.4,2.1
1.0,ATLANTIC,110.0,ATLANTIC CITY,120.0,RICHMOND AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,70.0,748.0,10.0,20.0,15.7,44.3,10.0,3,*,*,69.0,748.0,13.0,18.8,17.4,44.9,5.8,*,*,56.0,734.0,5.4,32.1,39.3,23.2,0.0,*,*,55.0,733.0,16.4,18.2,40.0,23.6,1.8
1.0,ATLANTIC,110.0,ATLANTIC CITY,140.0,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,A,TOTAL,ALL STUDENTS,*,*,58.0,719.0,24.1,31.0,31.0,13.8,0.0,3,*,*,58.0,705.0,46.6,29.3,13.8,10.3,0.0,*,*,79.0,709.0,35.4,27.8,32.9,3.8,0.0,*,*,77.0,707.0,46.8,24.7,18.2,10.4,0.0
